Book Name,Author,Rating,Description,Listening Time,Ranks and Genre,Number of Reviews,Price,Genre,Listening Time (mins),clean_description,cluster,pca_x,pca_y,reviews_norm,popularity_score
Think Like A Monk: The Secret Of How To Harness The Power Of Positivity And Be Happy Now,Jay Shetty,4.9,"Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",10 hours and 54 minutes,",#1 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Personal Success,#1 in Stress Management,#2 in Society & Culture (Books)",371.0,10080,Personal Success,654,past years jay shetty become popular influencers clips watched video facebook year million views social media following totals million produced viral videos amassed billion views podcast purpose consistently ranked health related podcast,6,-0.1736836873291063,-0.2280489303667605,0.0052765933172658685,3.43158297799518
The Subtle Art Of Not Giving A F*Ck: A Counterintuitive Approach To Living A Good Life,Mark Manson,4.4,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",5 hours and 17 minutes,",#3 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Personal Success,#16 in Personal Development & Self-Help",20306.0,10378,Personal Success,317,generation defining self help guide superstar blogger cuts crap show stop trying positive truly become better happier people,15,-0.182845237148077,-0.2132281760571586,0.2895708846137391,3.166871265384122
Life'S Amazing Secrets: How To Find Balance And Purpose In Your Life,Gaur Gopal Das,4.6,"Stop going through life,  Start growing through life!",6 hours and 25 minutes,",#6 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Literary Essays,#1 in Essays (Books),#1 in Spiritualism",4308.0,1005,Literary Essays,385,stop going start growing,15,-0.1719280408153288,-0.2238677225955406,0.06142239842557864,3.2384267195276735
Sapiens,Yuval Noah Harari,4.6,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,15 hours and 18 minutes,",#4 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Anthropology (Audible Audiobooks & Originals),#1 in History of Civilization,#2 in Anthropology (Books)",20163.0,1093,History of Civilization,918,fire gave power farming made hungry money gave purpose science made deadly,21,-0.1731983254903568,-0.226928966336373,0.2875315526019309,3.306259465780579
Extraordinary Leadership,Robin Sharma,4.1,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",1 hour and 6 minutes,",#1 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Leadership,#1 in Business Careers",179.0,0,Leadership,66,completing purchase agree conditions use amazon privacy notice applicable recurring payment terms,4,-0.1953562234699114,-0.2378700283111654,0.002538469217495472,2.8707615407652485
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,17 hours and 48 minutes,",#7 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Personal Finance,#1 in Investing & Trading,#4 in Analysis & Strategy",9339.0,18290,Personal Finance,1068,classic text annotated update graham timeless wisdom today market conditions,18,-0.1736665367022661,-0.2278572775658679,0.13316980647737484,3.1199509419432125
Rich Dad Poor Dad: What The Rich Teach Their Kids About Money - That The Poor And Middle Class Do Not!,Robert T. Kiyosaki,4.5,Rich Dad Poor Dad will…. ,6 hours and 9 minutes,",#9 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Personal Finance,#2 in Investing & Trading,#39 in Personal Development & Self-Help",22123.0,837,Personal Finance,369,rich dad poor dad,11,-0.1707636665738412,-0.2211540817204955,0.3154832361204204,3.2446449708361262
The 5Am Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,"Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",11 hours and 4 minutes,",#8 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sleep Disorders,#6 in Personal Success,#8 in Healthy Living & Wellness",5116.0,8735,Sleep Disorders,664,legendary leadership elite performance expert robin sharma introduced club concept years ago based revolutionary morning routine helped clients maximise productivity activate best health bulletproof serenity age overwhelming complexity,15,-0.1621717792163507,-0.2241766988277829,0.07294533734544573,3.101883601203634
Influence: The Psychology Of Persuasion,Robert B. Cialdini,4.4,"Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",10 hours and 6 minutes,",#11 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Consumer Behaviour,#1 in Marketing (Audible Audiobooks & Originals),#1 in Earth Sciences Books",3795.0,12356,Consumer Behaviour,606,influence classic persuasion explains psychology people say yes apply understandings,15,-0.1733231232606387,-0.2272198898521753,0.05410647309650461,3.0962319419289512
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",7 hours and 19 minutes,",#2 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Entrepreneurship (Audible Audiobooks & Originals),#1 in Small Businesses,#1 in Business Management",43.0,0,Small Businesses,439,utv founder pioneer media industry ronnie screwvala india successful generation entrepreneurs avid philanthropist penned dream eyes open entrepreneurial journey inspiring entrepreneurial self help pictured relaxed content cover screwvala provides relentless pursuit entrepreneurial glory describes others learn,15,-0.1743518585528377,-0.2296461653243355,0.0005989646468247743,2.5201796893940474
